"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 01 16:06:54 MSK 2026","Sun Mar 01 16:06:55 MSK 2026","371","","RegistrationTest","","RegistrationTest","testCreateExistingUser","testCreateExistingUser()","Проверка ошибки при создании пользователя, который уже зарегистрирован"
"passed","Sun Mar 01 16:06:49 MSK 2026","Sun Mar 01 16:06:49 MSK 2026","343","","OrderUserTest","","OrderUserTest","testGetUserOrdersWithoutAuth","testGetUserOrdersWithoutAuth()","Проверка ошибки при получении заказов без авторизации"
"passed","Sun Mar 01 16:06:45 MSK 2026","Sun Mar 01 16:06:46 MSK 2026","1089","","EditUserTest","","EditUserTest","testUpdateNameWithAuth","testUpdateNameWithAuth()","Проверка успешного изменения имени авторизованным пользователем"
"passed","Sun Mar 01 16:06:54 MSK 2026","Sun Mar 01 16:06:54 MSK 2026","97","","RegistrationTest","","RegistrationTest","testCreateUserWithoutName","testCreateUserWithoutName()","Проверка ошибки при создании пользователя без имени"
"passed","Sun Mar 01 16:06:47 MSK 2026","Sun Mar 01 16:06:49 MSK 2026","1203","","LoginTest","","LoginTest","testLoginExistingUser","testLoginExistingUser()","Проверка успешной авторизации существующего пользователя"
"passed","Sun Mar 01 16:06:54 MSK 2026","Sun Mar 01 16:06:54 MSK 2026","174","","RegistrationTest","","RegistrationTest","testCreateUserWithoutEmail","testCreateUserWithoutEmail()","Проверка ошибки при создании пользователя без email"
"passed","Sun Mar 01 16:06:49 MSK 2026","Sun Mar 01 16:06:49 MSK 2026","339","","LoginTest","","LoginTest","testLoginWithWrongEmail","testLoginWithWrongEmail()","Проверка ошибки при авторизации с неверным email"
"passed","Sun Mar 01 16:06:49 MSK 2026","Sun Mar 01 16:06:54 MSK 2026","4896","","OrderUserTest","","OrderUserTest","testGetUserOrdersWithAuth","testGetUserOrdersWithAuth()","Проверка успешного получения списка заказов авторизованным пользователем"
"passed","Sun Mar 01 16:06:39 MSK 2026","Sun Mar 01 16:06:41 MSK 2026","1631","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithoutIngredients","testCreateOrderWithoutIngredients()","Проверка ошибки при создании заказа без ингредиентов"
"passed","Sun Mar 01 16:06:43 MSK 2026","Sun Mar 01 16:06:44 MSK 2026","1057","","EditUserTest","","EditUserTest","testUpdateWithoutAuth","testUpdateWithoutAuth()","Проверка ошибки при изменении данных без авторизации"
"passed","Sun Mar 01 16:06:41 MSK 2026","Sun Mar 01 16:06:42 MSK 2026","1545","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithInvalidIngredientHash","testCreateOrderWithInvalidIngredientHash()","Проверка ошибки при создании заказа с невалидным ID ингредиента"
"passed","Sun Mar 01 16:06:55 MSK 2026","Sun Mar 01 16:06:56 MSK 2026","1019","","RegistrationTest","","RegistrationTest","testCreateUniqueUser","testCreateUniqueUser()","Проверка успешного создания нового пользователя"
"passed","Sun Mar 01 16:06:46 MSK 2026","Sun Mar 01 16:06:47 MSK 2026","1126","","LoginTest","","LoginTest","testLoginWithWrongPassword","testLoginWithWrongPassword()","Проверка ошибки при авторизации с неверным паролем"
"passed","Sun Mar 01 16:06:56 MSK 2026","Sun Mar 01 16:06:56 MSK 2026","211","","RegistrationTest","","RegistrationTest","testCreateUserWithoutPassword","testCreateUserWithoutPassword()","Проверка ошибки при создании пользователя без пароля"
"passed","Sun Mar 01 16:06:44 MSK 2026","Sun Mar 01 16:06:45 MSK 2026","1265","","EditUserTest","","EditUserTest","testUpdateEmailWithAuth","testUpdateEmailWithAuth()","Проверка успешного изменения email авторизованным пользователем"
"passed","Sun Mar 01 16:06:28 MSK 2026","Sun Mar 01 16:06:39 MSK 2026","11224","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithAuthAndIngredients","testCreateOrderWithAuthAndIngredients()","Проверка успешного создания заказа авторизованным пользователем с ингредиентами"
"passed","Sun Mar 01 16:06:42 MSK 2026","Sun Mar 01 16:06:43 MSK 2026","446","","CreateOrderTest","","CreateOrderTest","testCreateOrderWithoutAuthWithIngredients","testCreateOrderWithoutAuthWithIngredients()","Проверка создания заказа неавторизованным пользователем"
